timestamp,epoch,step,train/acc,train/loss,val/acc,val/loss,val/acc_max,best_epoch
1685951796.283271,0,196,0.0587,4.279364181060791,0.0812,4.109554063415527,0.0812,0
1685951806.069584,1,392,0.12034,3.8911818030548098,0.1215,3.868275856781006,0.1215,1
1685951815.734681,2,588,0.16246,3.6955876399230956,0.152,3.708458918762207,0.152,2
1685951825.170987,3,784,0.20854,3.494477382354736,0.1473,3.830379285430908,0.152,2
1685951834.332865,4,980,0.24818,3.3151453443145753,0.2171,3.4258470813751223,0.2171,4
1685951843.581954,5,1176,0.28036,3.185434073562622,0.2277,3.37816510925293,0.2277,5
1685951852.824541,6,1372,0.30482,3.084147554550171,0.2083,3.4675533630371094,0.2277,5
1685951862.240385,7,1568,0.32624,3.0056206837463377,0.2093,3.537806563568115,0.2277,5
1685951872.174602,8,1764,0.34222,2.9391074703979494,0.1505,3.7768579780578615,0.2277,5
1685951881.72604,9,1960,0.35734,2.884797382736206,0.2252,3.4352004779815672,0.2277,5
1685951891.071677,10,2156,0.36938,2.8389088404846192,0.2118,3.4770846130371096,0.2277,5
1685951900.282152,11,2352,0.38306,2.799567911911011,0.2641,3.235769993972778,0.2641,11
1685951909.56567,12,2548,0.39264,2.7659917196655273,0.2768,3.1818395984649657,0.2768,12
1685951918.978587,13,2744,0.40014,2.7371649158477784,0.3321,2.944764405822754,0.3321,13
1685951928.315093,14,2940,0.4067,2.7113890042877196,0.2336,3.326200235366821,0.3321,13
1685951937.65521,15,3136,0.41696,2.685326033706665,0.2758,3.1796909858703613,0.3321,13
1685951946.986517,16,3332,0.42186,2.66356399559021,0.2497,3.365036779022217,0.3321,13
1685951956.716545,17,3528,0.42456,2.64181826171875,0.283,3.1961347442626953,0.3321,13
1685951965.886991,18,3724,0.43292,2.6212819844055177,0.184,3.8273520980834963,0.3321,13
1685951975.062978,19,3920,0.43866,2.609513783416748,0.2198,3.5339847549438477,0.3321,13
